date,action,symbol,price,shares,position_size,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2020-03-18 00:00:00-04:00,BUY_SHORT,SQQQ,13539.4814453125,3,0.25,40.618444335937504,40.618444335937504,26.0,57.0,38.4,76.44999694824219,,,,,,
2020-03-24 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,11478.9072265625,3,,34.4367216796875,34.4367216796875,26.0,57.0,38.4,61.66999816894531,6181.72265625,6112.849212890625,0.042193402438891,0.1521900397052053,1.0,空單止損: +4.2%
2020-03-25 00:00:00-04:00,BUY_SHORT,SQQQ,11672.94921875,3,0.25,35.01884765625,35.01884765625,26.0,57.0,38.4,63.95000076293945,,,,,,
2020-03-26 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,9813.1416015625,3,,29.4394248046875,29.4394248046875,34.0,57.0,43.2,61.0,5579.4228515625,5520.544001953125,0.05266047129670989,0.15932628355824013,1.0,空單止損: +5.3%
2020-03-27 00:00:00-04:00,BUY_SHORT,SQQQ,10760.6865234375,4,0.25,43.042746093750004,43.042746093750004,26.0,57.0,38.4,65.54000091552734,,,,,,
2020-03-30 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,9596.4150390625,4,,38.38566015625,38.38566015625,34.0,57.0,43.2,57.08000183105469,4657.0859375,4580.3146171875,0.03637369915789093,0.10819676624155329,1.0,空單止損: +3.6%
2020-04-01 00:00:00-04:00,BUY_SHORT,SQQQ,11063.09375,4,0.25,44.252375,44.252375,26.0,57.0,38.4,57.060001373291016,,,,,,
2020-04-02 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,10407.8779296875,4,,41.63151171875,41.63151171875,34.0,57.0,43.2,50.90999984741211,2620.86328125,2537.6002578125,0.020294949358389384,0.05922536996601877,1.0,空單止損: +2.0%
2020-04-03 00:00:00-04:00,BUY_SHORT,SQQQ,10816.126953125,4,0.25,43.2645078125,43.2645078125,26.0,57.0,38.4,46.79999923706055,,,,,,
2020-04-06 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,8543.02734375,4,,34.172109375,34.172109375,34.0,57.0,43.2,45.2400016784668,9092.3984375,9024.05421875,0.07149479937952885,0.21015836992540615,1.0,空單止損: +7.1%
2020-04-14 00:00:00-04:00,BUY_LONG,TQQQ,7.630287170410156,6471,0.25,49.37558827972412,49.37558827972412,78.0,51.0,67.2,37.7599983215332,,,,,,
